timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack
5,15,73.13333333333334,64.0,56.800000000000004,64.0,100.0,100.0,100,33,Yes
10,17,70.47058823529412,64.0,47.0,64.0,100.0,100.0,100,44,Yes
15,13,125.92307692307692,64.0,64.0,64.0,224.0,224.0,224,33,No
20,19,68.10526315789474,64.0,48.8,64.0,64.0,100.0,100,44,Yes
25,25,103.16,64.0,39.400000000000006,64.0,208.0,224.0,224,22,No
30,12,69.66666666666667,64.0,46.0,64.0,73.0,100.0,100,44,Yes
35,10,75.3,64.0,60.9,64.0,100.0,100.0,100,33,Yes
40,24,88.29166666666667,64.0,44.0,61.0,73.0,224.0,224,33,No
45,33,87.51515151515152,64.0,64.0,64.0,64.0,224.0,224,40,No
50,16,111.8125,64.0,44.0,64.0,224.0,224.0,224,33,No
55,14,141.71428571428572,136.0,64.0,64.0,224.0,224.0,224,64,No
60,19,103.63157894736842,64.0,44.0,64.0,162.0,224.0,224,33,No
65,12,144.0,144.0,64.0,64.0,224.0,224.0,224,64,No
70,22,69.9090909090909,64.0,44.5,64.0,91.0,100.0,100,33,Yes
75,8,148.5,162.0,64.0,64.0,224.0,224.0,224,64,No
80,21,99.19047619047619,64.0,44.0,64.0,100.0,224.0,224,33,No
85,15,124.86666666666666,64.0,64.0,64.0,216.0,224.0,224,49,No
90,14,84.64285714285714,64.0,50.0,64.0,100.0,100.0,224,33,Yes
95,13,100.15384615384616,64.0,35.2,64.0,100.0,224.0,224,33,No
100,28,102.71428571428571,64.0,49.0,64.0,131.0,224.0,224,33,No
105,10,69.2,64.0,62.0,64.0,64.0,100.0,100,44,Yes
110,20,67.6,64.0,48.5,50.0,73.0,100.0,100,33,Yes
115,15,126.93333333333334,64.0,64.0,64.0,216.0,224.0,224,44,No
120,16,73.5625,64.0,48.0,64.0,100.0,100.0,100,33,Yes
125,11,120.36363636363636,64.0,64.0,64.0,224.0,224.0,224,44,No
130,18,66.0,64.0,40.7,64.0,64.0,100.0,100,22,Yes
135,16,112.75,64.0,48.0,64.0,224.0,224.0,224,40,No
140,17,72.88235294117646,64.0,47.6,64.0,100.0,100.0,100,33,Yes
145,18,131.11111111111111,64.0,64.0,64.0,217.0,224.0,224,44,No
150,13,112.07692307692308,64.0,48.0,64.0,224.0,224.0,224,33,No
