timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack,test_categorical
5,15,73.1333333333333,64,56.8,64,100,100,100,33,Yes,15
10,17,70.4705882352941,64,47,64,100,100,100,44,Yes,17
15,13,125.923076923077,64,64,64,224,224,224,33,No,13
20,19,68.1052631578947,64,48.8,64,64,100,100,44,Yes,19
25,25,103.16,64,39.4,64,208,224,224,22,No,25
30,12,69.6666666666667,64,46,64,73,100,100,44,Yes,12
35,10,75.3,64,60.9,64,100,100,100,33,Yes,10
40,24,88.2916666666667,64,44,61,73,224,224,33,No,24
45,33,87.5151515151515,64,64,64,64,224,224,40,No,33
50,16,111.8125,64,44,64,224,224,224,33,No,16
55,14,141.714285714286,136,64,64,224,224,224,64,No,14
60,19,103.631578947368,64,44,64,162,224,224,33,No,19
65,12,144,144,64,64,224,224,224,64,No,12
70,22,69.9090909090909,64,44.5,64,91,100,100,33,Yes,22
75,8,148.5,162,64,64,224,224,224,64,No,8
80,21,99.1904761904762,64,44,64,100,224,224,33,No,21
85,15,124.866666666667,64,64,64,216,224,224,49,No,15
90,14,84.6428571428571,64,50,64,100,100,224,33,Yes,14
95,13,100.153846153846,64,35.2,64,100,224,224,33,No,13
100,28,102.714285714286,64,49,64,131,224,224,33,No,28
105,10,69.2,64,62,64,64,100,100,44,Yes,10
110,20,67.6,64,48.5,50,73,100,100,33,Yes,20
115,15,126.933333333333,64,64,64,216,224,224,44,No,15
120,16,73.5625,64,48,64,100,100,100,33,Yes,16
125,11,120.363636363636,64,64,64,224,224,224,44,No,11
130,18,66,64,40.7,64,64,100,100,22,Yes,18
135,16,112.75,64,48,64,224,224,224,40,No,16
140,17,72.8823529411765,64,47.6,64,100,100,100,33,Yes,17
145,18,131.111111111111,64,64,64,217,224,224,44,No,18
150,13,112.076923076923,64,48,64,224,224,224,33,No,13
155,14,118.857142857143,64,55.6,64,224,224,224,44,No,14
160,22,97.8636363636364,64,44.5,52.75,100,224,224,33,No,22
165,16,76.25,64,64,64,100,100,100,44,Yes,16
170,17,80.0588235294118,100,56,64,100,100,100,33,Yes,17
175,19,85.0526315789474,64,61.6,64,100,121.6,208,44,Yes,19
180,12,116.083333333333,64,46,64,224,224,224,33,No,12
185,13,71.5384615384615,64,35.2,64,100,100,100,33,Yes,13
190,13,101,64,52,64,100,224,224,44,No,13
195,16,114.25,64,58,64,224,224,224,44,No,16
200,13,135.461538461538,64,64,64,224,224,224,33,No,13
205,19,110,64,48.8,64,208,224,224,44,No,19
210,12,131.083333333333,82,64,64,224,224,224,33,No,12
215,38,83.6842105263158,64,64,64,64,224,224,44,No,38
220,38,67.1315789473684,64,64,64,64,100,100,33,Yes,38
225,25,93.24,64,41.6,64,100,224,224,33,No,25
230,47,96.6382978723404,64,46,64,64,224,224,46,No,47
235,23,82.304347826087,64,45.6,64,100,100,208,33,Yes,23
240,8,128.5,82,64,64,224,224,224,64,No,8
245,16,101.0625,64,44,61,131,224,224,33,No,16
250,15,115.333333333333,64,55,64,224,224,224,49,No,15
255,15,75.7333333333333,64,52,64,100,100,100,44,Yes,15
260,8,120.125,64,54.7,64,224,224,224,33,No,8
265,27,114.444444444444,64,59.2,64,216,224,224,44,No,27
270,13,112.076923076923,64,48,64,224,224,224,33,No,13
275,19,102.842105263158,64,43.8,64,144,224,224,43,No,19
280,18,69.5,64,47.5,64,91,100,100,33,Yes,18
285,21,100.333333333333,64,44,64,100,224,224,33,No,21
290,31,68.5806451612903,64,55,64,64,100,100,44,Yes,31
295,25,81.64,64,37.4,64,100,100,208,22,Yes,25
300,11,81.8181818181818,100,64,64,100,100,100,44,Yes,11
305,20,104.45,64,51.2,64,131,224,224,33,No,20
310,12,70.0833333333333,64,50.5,64,73,100,100,44,Yes,12
315,17,108.764705882353,64,42.4,64,224,224,224,33,No,17
320,13,124,64,64,64,224,224,224,44,No,13
325,19,82.6842105263158,64,48.8,64,100,121.6,208,33,Yes,19
330,19,123.789473684211,64,64,64,224,224,224,44,No,19
335,27,64.5555555555556,64,47,49,64,78.4000000000001,224,33,No,27
340,17,83.1764705882353,64,49,64,100,100,224,44,Yes,17
345,26,66.8461538461538,64,49.5,64,64,100,100,33,Yes,26
350,40,92.4,64,64,64,64,224,224,44,No,40
355,42,110.833333333333,64,64,64,207,207,220,33,Yes,42
360,13,126.769230769231,64,64,64,224,224,224,44,No,13
365,19,113.105263157895,64,50.4,64,224,224,224,33,No,19
370,15,68.8666666666667,64,55,64,64,100,100,44,Yes,15
375,9,73.7777777777778,64,60,64,100,100,100,44,Yes,9
380,9,92.5555555555556,64,41.8,52,64,224,224,33,No,9
385,26,104.076923076923,64,64,64,100,208,220,50,Yes,26
390,15,106.733333333333,64,44,64,162,224,224,33,No,15
395,17,121.058823529412,64,51.6,64,224,224,224,33,No,17
400,32,84.90625,64,44.5,49,64,224,224,22,No,32
405,13,110.461538461538,64,54.4,64,224,224,224,40,No,13
410,20,109.5,64,44,64,224,224,224,33,No,20
415,12,141.333333333333,136,64,64,224,224,224,64,No,12
420,17,109,64,44,64,224,224,224,33,No,17
425,12,129.666666666667,64,64,64,224,224,224,52,No,12
430,21,107.333333333333,64,44,64,224,224,224,33,No,21
435,8,73,64,64,64,73,100,100,64,Yes,8
440,26,113.730769230769,64,44.5,49.75,224,255,255,33,No,26
445,30,134.433333333333,64,45,64,224,255,255,45,No,30
450,11,123.636363636364,64,64,64,224,224,224,44,No,11
455,13,121.615384615385,64,48,64,224,224,224,33,No,13
460,25,73.92,64,46,64,100,100,100,33,Yes,25
465,16,116.5,64,58,64,224,224,224,44,No,16
470,17,108.058823529412,64,45.2,64,224,224,224,33,No,17
475,17,126.823529411765,64,64,64,224,224,224,44,No,17
480,14,75.7857142857143,64,50,64,100,100,100,33,Yes,14
485,38,80.4736842105263,64,50,64,64,137.200000000001,224,33,No,38
490,25,100.52,64,56.8,64,64,224,224,44,No,25
495,13,97.9230769230769,64,40.8,64,100,224,224,33,No,13
500,13,124,64,64,64,224,224,224,44,No,13
505,16,85.5625,64,54,64,100,154,208,33,Yes,16
