timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack
5,19,99.52631578947368,57.0,43.8,56.0,143.5,224.0,224,40,Yes
10,25,113.36,64.0,38.60000000000001,64.0,224.0,224.0,255,32,No
15,18,107.72222222222223,64.0,39.7,64.0,193.0,224.0,224,32,No
20,19,95.89473684210526,64.0,60.6,64.0,64.0,224.0,224,47,No
25,17,100.3529411764706,64.0,40.2,44.0,210.0,215.20000000000002,224,32,Yes
30,18,108.55555555555556,64.0,47.0,64.0,209.0,209.0,224,22,Yes
35,11,105.36363636363636,64.0,43.0,60.0,162.0,224.0,224,32,No
40,22,86.9090909090909,64.0,48.3,56.25,64.0,210.0,224,47,Yes
45,17,103.88235294117646,64.0,43.6,50.0,210.0,224.0,224,32,Yes
50,8,77.25,64.0,46.1,47.0,64.0,111.99999999999997,224,44,No
55,13,118.92307692307692,64.0,43.2,57.0,210.0,221.20000000000002,224,32,Yes
60,40,93.975,64.0,47.0,55.75,80.0,224.0,224,39,No
65,15,104.6,64.0,45.8,64.0,162.0,224.0,224,32,No
70,20,109.5,64.0,45.6,60.0,224.0,227.10000000000005,255,33,No
75,18,107.72222222222223,64.0,39.7,64.0,193.0,224.0,224,32,No
80,14,118.71428571428571,64.0,52.1,64.0,224.0,224.0,224,47,No
85,17,89.6470588235294,64.0,47.2,64.0,64.0,224.0,224,32,No
90,16,131.0625,64.0,64.0,64.0,224.0,224.0,224,47,No
95,45,76.35555555555555,64.0,51.0,64.0,64.0,85.60000000000005,224,32,No
100,28,87.25,64.0,46.1,56.0,64.0,223.0,224,39,Yes
105,55,68.45454545454545,64.0,19.0,25.5,64.0,174.40000000000018,224,19,No
110,8,76.5,57.0,53.3,56.75,64.0,107.79999999999998,210,47,Yes
115,16,109.6875,64.0,43.0,59.75,213.5,224.0,224,32,No
120,138,69.65217391304348,64.0,57.0,64.0,64.0,64.0,224,44,Yes
125,21,107.42857142857143,64.0,47.0,64.0,224.0,224.0,224,32,No
130,20,101.3,64.0,42.0,60.0,104.0,227.10000000000005,255,33,No
135,21,90.19047619047619,64.0,43.0,50.0,64.0,224.0,224,32,No
140,18,82.66666666666667,64.0,43.1,47.0,64.0,210.0,224,39,Yes
145,16,100.8125,64.0,45.0,59.75,131.0,224.0,224,32,No
150,15,119.93333333333334,64.0,48.800000000000004,57.0,209.5,217.79999999999998,224,44,Yes
155,51,77.90196078431373,64.0,51.0,64.0,64.0,100.0,224,32,No
160,19,72.21052631578948,57.0,44.0,48.0,64.0,95.79999999999988,224,44,Yes
165,21,92.23809523809524,64.0,43.0,64.0,100.0,224.0,224,32,No
170,9,91.0,57.0,44.0,44.0,64.0,223.0,223,44,Yes
175,27,90.0,64.0,47.0,57.0,64.0,224.0,224,32,No
180,30,92.96666666666667,64.0,44.0,56.0,112.0,210.0,223,39,Yes
185,30,89.86666666666666,64.0,46.6,55.0,121.0,224.0,224,32,No
190,27,97.22222222222223,56.0,44.0,55.0,128.0,224.0,255,33,Yes
195,27,95.77777777777777,64.0,47.0,55.0,114.0,224.0,224,32,No
