timestamp,num_pkts,avg_ttl,median_ttl,10_percentil_ttl,25_percentil_ttl,75_percentil_ttl,90_percentil_ttl,max_ttl,min_ttl,attack
5.0,12,116.08333333333333,64.0,46.0,64.0,224.0,224.0,224,33,No
10.0,19,111.89473684210526,64.0,49.0,64.0,224.0,224.0,224,44,No
15.0,14,120.07142857142857,64.0,50.0,64.0,224.0,224.0,224,33,No
20.0,12,114.41666666666667,64.0,50.5,64.0,224.0,224.0,224,44,No
25.0,80,73.1625,64.0,64.0,64.0,64.0,64.0,224,33,No
30.0,35,82.0,64.0,64.0,64.0,64.0,174.40000000000018,224,33,No
35.0,13,97.07692307692308,64.0,49.0,64.0,64.0,224.0,224,44,No
40.0,23,96.21739130434783,64.0,49.0,64.0,82.0,224.0,224,33,No
45.0,10,126.0,64.0,62.0,64.0,224.0,224.0,224,44,No
50.0,15,116.33333333333333,64.0,52.0,64.0,224.0,224.0,224,33,No
55.0,14,129.14285714285714,64.0,64.0,64.0,220.5,224.0,224,44,No
60.0,15,119.53333333333333,64.0,55.0,64.0,224.0,224.0,255,45,No
65.0,35,134.17142857142858,64.0,45.0,45.0,239.5,255.0,255,33,No
70.0,16,110.4375,64.0,56.5,64.0,224.0,224.0,224,22,No
75.0,16,111.8125,64.0,44.0,64.0,224.0,224.0,224,33,No
80.0,31,87.29032258064517,64.0,55.0,59.5,64.0,224.0,224,49,No
85.0,17,107.3529411764706,64.0,44.0,64.0,210.0,224.0,224,33,No
90.0,11,108.54545454545455,64.0,33.0,64.0,162.0,224.0,224,33,No
95.0,13,96.6923076923077,64.0,45.0,64.0,64.0,224.0,224,44,No
100.0,20,110.05,64.0,49.0,64.0,224.0,224.0,224,33,No
105.0,17,97.52941176470588,64.0,47.0,64.0,64.0,224.0,224,44,No
110.0,18,135.38888888888889,82.0,64.0,64.0,224.0,224.0,224,33,No
115.0,23,121.82608695652173,64.0,48.0,64.0,215.0,224.0,224,40,No
120.0,18,105.55555555555556,64.0,44.2,64.0,193.0,224.0,224,22,No
125.0,12,114.0,64.0,46.0,64.0,224.0,224.0,224,44,No
130.0,16,112.4375,64.0,49.0,64.0,224.0,224.0,224,33,No
135.0,13,110.15384615384616,64.0,48.0,64.0,224.0,224.0,224,44,No
140.0,14,120.42857142857143,64.0,53.5,64.0,224.0,224.0,224,33,No
145.0,20,107.85,64.0,48.5,64.0,210.0,224.0,224,44,No
150.0,14,121.85714285714286,82.0,42.3,64.0,224.0,224.0,224,33,No
155.0,17,106.94117647058823,64.0,47.0,64.0,224.0,224.0,224,44,No
160.0,18,107.11111111111111,64.0,49.7,64.0,193.0,224.0,224,33,No
165.0,12,101.08333333333333,64.0,50.5,64.0,104.0,224.0,224,44,No
170.0,15,127.0,64.0,52.0,64.0,224.0,224.0,224,33,No
175.0,210,68.34285714285714,64.0,64.0,64.0,64.0,64.0,224,44,No
180.0,14,97.92857142857143,64.0,33.0,49.0,100.0,224.0,224,33,No
185.0,12,114.41666666666667,64.0,50.5,64.0,224.0,224.0,224,44,No
190.0,19,106.42105263157895,64.0,48.0,64.0,162.0,224.0,224,33,No
195.0,12,129.0,64.0,64.0,64.0,224.0,224.0,224,44,No
200.0,16,113.0625,64.0,54.0,64.0,224.0,224.0,224,33,No
205.0,22,118.22727272727273,64.0,50.5,64.0,220.5,224.0,224,40,No
210.0,13,124.38461538461539,64.0,48.0,64.0,224.0,224.0,224,33,No
215.0,15,103.4,64.0,49.4,64.0,144.0,224.0,224,44,No
220.0,17,110.17647058823529,64.0,56.0,64.0,224.0,224.0,224,33,No
225.0,19,102.73684210526316,64.0,49.0,64.0,144.0,224.0,224,44,No
230.0,20,127.25,64.0,62.0,64.0,224.0,224.0,224,33,No
235.0,16,122.875,82.0,48.5,64.0,213.5,224.0,224,33,No
240.0,14,118.28571428571429,64.0,50.0,64.0,224.0,224.0,224,44,No
245.0,24,87.33333333333333,64.0,50.0,50.0,64.0,224.0,224,33,No
250.0,12,100.66666666666667,64.0,46.0,64.0,104.0,224.0,224,44,No
255.0,16,112.4375,64.0,49.0,64.0,224.0,224.0,224,33,No
260.0,10,108.0,64.0,44.0,64.0,184.0,224.0,224,44,No
265.0,20,126.1,64.0,62.5,64.0,224.0,224.0,224,33,No
270.0,31,89.96774193548387,64.0,44.0,56.5,64.0,224.0,224,44,No
275.0,15,105.0,64.0,49.0,64.0,162.0,224.0,224,33,No
280.0,14,106.85714285714286,64.0,50.0,64.0,184.0,224.0,224,44,No
285.0,15,105.06666666666666,64.0,49.4,64.0,162.0,224.0,224,33,No
290.0,18,114.27777777777777,64.0,47.5,64.0,224.0,224.0,224,44,No
295.0,23,124.0,64.0,44.800000000000004,64.0,215.0,224.0,224,33,No
300.0,14,106.85714285714286,64.0,50.0,64.0,184.0,224.0,224,44,No
305.0,13,138.23076923076923,100.0,64.0,64.0,224.0,224.0,224,33,No
310.0,14,94.35714285714286,64.0,45.5,64.0,64.0,224.0,224,44,No
315.0,15,115.66666666666667,64.0,49.0,64.0,224.0,224.0,224,33,No
320.0,12,114.0,64.0,46.0,64.0,224.0,224.0,224,44,No
325.0,15,126.46666666666667,64.0,64.0,64.0,217.0,224.0,224,33,No
330.0,25,93.0,64.0,44.0,49.0,100.0,224.0,224,33,No
335.0,21,82.57142857142857,64.0,49.0,49.0,64.0,224.0,224,49,No
340.0,20,73.9,64.0,42.9,49.0,64.0,112.40000000000018,224,22,No
345.0,96,70.36458333333333,64.0,64.0,64.0,64.0,64.0,224,49,No
350.0,17,109.29411764705883,64.0,47.0,64.0,224.0,224.0,224,33,No
355.0,41,125.17073170731707,64.0,64.0,64.0,208.0,220.0,224,44,No
360.0,14,120.07142857142857,64.0,50.0,64.0,224.0,224.0,224,33,No
365.0,14,131.14285714285714,64.0,64.0,64.0,224.0,224.0,224,44,No
370.0,19,121.15789473684211,64.0,48.0,64.0,224.0,224.0,224,33,No
375.0,13,110.53846153846153,64.0,52.0,64.0,224.0,224.0,224,44,No
380.0,31,76.7741935483871,64.0,55.0,55.0,64.0,100.0,224,33,No
385.0,20,115.65,64.0,48.5,64.0,213.5,224.0,224,40,No
390.0,20,101.4,64.0,33.0,64.0,131.0,224.0,224,22,No
